word,count
na,244
nana,86
ah,83
oh,70
ye,70
yeah,63
yea,63
nanana,48
ok,47
ay,41
ey,38
jung,36
kook,36
um,36
light,32
ow,32
night,30
love,29
let,29
jimin,28
jimi,28
dynamite,28
jim,28
ami,28
ever,25
pum,24
thin,24
need,22
life,22
jin,22
every,21
right,20
dynnanana,20
hey,18
la,18
ayy,17
ali,17
know,16
roll,16
eat,16
ton,16
one,15
uh,15
talk,14
ooh,14
hear,14
nananana,14
alight,14
nanananana,14
post,14
tonight,13
fun,13
star,13
kill,13
[prechorus:,12
city,12
fire,12
bring,12
little,12
ground,12
[postchorus:,12
boy,12
beat,12
soul,12
round,12
lit,12
shinin',12
funk,12
littl,12
unk,12
want,11
everything,11
ohoh,11
look,11
jimin],11
kook],11
ya,10
baby,10
woahoh,10
stars,10
watch,10
woah,10
jin],10
set,10
woahohoh,10
ahoh,10
say,9
might,9
break,9
dance,9
hope,9
hop,9
low,8
walk,8
lad,8
jhope,8
bed,8
v],8
men,8
left,7
high,7
bridge,7
day,7
ex,7
halsey,7
rm],7
side,7
suga,7
though,7
boo,7
ugh,7
ft,7
rum,7
m],7
[bridge,7
moo,7
